Stock Name,Basic industry,Index,Sector
SURAJ,Breweries & Distilleries,,
526471,Breweries & Distilleries,,
531216,Breweries & Distilleries,,
539546,Breweries & Distilleries,,
FRATELLI,Breweries & Distilleries,,
MONIKA,Breweries & Distilleries,,
ABDL,Breweries & Distilleries,NA,FMCG
ASALCBR,Breweries & Distilleries,NA,FMCG
AURDIS,Breweries & Distilleries,,
BCLIND,Breweries & Distilleries,NA,FMCG
GLOBUSSPR,Breweries & Distilleries,NA,FMCG
GMBREW,Breweries & Distilleries,NA,FMCG
IFBAGRO,Breweries & Distilleries,NA,FMCG
INDIAGLYCO,Breweries & Distilleries,NIFTY MICROCAP 250,Chemicals
PICCADIL,Breweries & Distilleries,NA,FMCG
RADICO,Breweries & Distilleries,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500,NIFTY FMCG",FMCG
SDBL,Breweries & Distilleries,NA,FMCG
SULA,Breweries & Distilleries,NIFTY MICROCAP 250,FMCG
TI,Breweries & Distilleries,NIFTY MICROCAP 250,FMCG
UBL,Breweries & Distilleries,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FMCG",FMCG
UNITDSPR,Breweries & Distilleries,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500,NIFTY FMCG",FMCG
504810,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
BNRUDY,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
532139,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
543352,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
ALLDIGI,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
CADSYS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
ECLERX,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Financial Services
FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),"NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Information Technology
HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Services
HRHNEXT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
KANDARP,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
ONEPOINT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
PLADAINFO,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),,
RPSGVENT,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
WEWIN,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
ADCINDIA,Cables - Electricals,,
ENERGYINF,Cables - Electricals,,
JDCABLES,Cables - Electricals,,
SYSTEMATIC,Cables - Electricals,,
BCP,Cables - Electricals,,
BHADORA,Cables - Electricals,,
CMICABLES,Cables - Electricals,NA,Capital Goods
CORDSCABLE,Cables - Electricals,NA,Capital Goods
DCG,Cables - Electricals,,
DPEL,Cables - Electricals,,
DYCL,Cables - Electricals,NA,Capital Goods
FINCABLES,Cables - Electricals,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
KEI,Cables - Electricals,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
MARCO,Cables - Electricals,,
PARACABLES,Cables - Electricals,NA,Capital Goods
PLAZACABLE,Cables - Electricals,NA,Capital Goods
POLYCAB,Cables - Electricals,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
PRIMECAB,Cables - Electricals,,
QUADFUTURE,Cables - Electricals,NA,Capital Goods
