stock_name,symbol,industry,index,sector
We Win Ltd,WEWIN,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Information Technology
Ultracab India,ADCINDIA,Cables - Electricals,,
Advait Energy,ENERGYINF,Cables - Electricals,,
JD Cables,JDCABLES,Cables - Electricals,,
Systematic Inds.,SYSTEMATIC,Cables - Electricals,,
B.C. Power,BCP,Cables - Electricals,,
Bhadora Indust.,BHADORA,Cables - Electricals,,
CMI,CMICABLES,Cables - Electricals,NA,Capital Goods
Cords Cable,CORDSCABLE,Cables - Electricals,NA,Capital Goods
DCG Cables,DCG,Cables - Electricals,,
Divine Power,DPEL,Cables - Electricals,,
Dynamic Cables,DYCL,Cables - Electricals,NA,Capital Goods
Finolex Cables,FINCABLES,Cables - Electricals,"NIFTY SMALLCAP 50,NIFTY SMALLCAP 100,NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
KEI Industries,KEI,Cables - Electricals,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
Marco Cables,MARCO,Cables - Electricals,,
Paramount Comm.,PARACABLES,Cables - Electricals,NA,Capital Goods
Plaza Wires,PLAZACABLE,Cables - Electricals,NA,Capital Goods
Polycab India,POLYCAB,Cables - Electricals,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Capital Goods
Prime Cable Ind.,PRIMECAB,Cables - Electricals,,
Quadrant Future,QUADFUTURE,Cables - Electricals,NA,Capital Goods
R R Kabel,RRKABEL,Cables - Electricals,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Capital Goods
Universal Cables,UNIVCABLES,Cables - Electricals,NA,Capital Goods
V-Marc India,VMARCIND,Cables - Electricals,,
Himadri Special,HSCL,Carbon Black,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Chemicals
PCBL Chemical,PCBL,Carbon Black,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Chemicals
Inv.& Prec.Cast.,504786,Castings & Forgings,,
Nitin Castings,NITINCAST,Castings & Forgings,,
Krishanveer Forg,LGBFORGE,Castings & Forgings,,
Smiths & Founder,OROSMITHS,Castings & Forgings,,
Gujarat Intrux,GUJARATPOLY,Castings & Forgings,,
Magna Electrocas,MAGNAELQ,Castings & Forgings,,
Creative Casting,CREATIVE,Castings & Forgings,NA,Information Technology
Samrat Forgings,SAMRATPH,Castings & Forgings,,
Amic Forging,AMIC,Castings & Forgings,,
Super Iron,SUPERIRON,Castings & Forgings,,
Neetu Yoshi,NEETUYOSHI,Castings & Forgings,,
Swastika Castal,SWASTIKA,Castings & Forgings,,
Abha Power,ABHAPOWER,Castings & Forgings,,
AIA Engineering,AIAENG,Castings & Forgings,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Metals & Mining
Balu Forge,BALUFORGE,Castings & Forgings,NA,Capital Goods
Ganga Forging,GANGAFORGE,Castings & Forgings,NA,Metals & Mining
Happy Forgings,HAPPYFORGE,Castings & Forgings,NIFTY MICROCAP 250,Metals & Mining
Hilton Met.Forg.,HILTON,Castings & Forgings,NA,Metals & Mining
Kalyani Forge,KALYANIFRG,Castings & Forgings,NA,Metals & Mining
Nelcast,NELCAST,Castings & Forgings,NA,Metals & Mining
Pattech Fitwell,PATTECH,Castings & Forgings,,
Sharp Chucks and,SCML,Castings & Forgings,,
Synergy Green,SGIL,Castings & Forgings,NA,Metals & Mining
Steelcast,STEELCAS,Castings & Forgings,NA,Metals & Mining
Tirupati Forge,TIRUPATIFL,Castings & Forgings,NA,Metals & Mining
ACC,ACC,Cement & Cement Products,"NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Ambuja Cements,AMBUJACEM,Cement & Cement Products,"NIFTY NEXT 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Birla Corpn.,BIRLACORPN,Cement & Cement Products,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Construction
Dalmia BharatLtd,DALBHARAT,Cement & Cement Products,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Deccan Cements,DECCANCE,Cement & Cement Products,NA,Construction
Grasim Inds,GRASIM,Cement & Cement Products,"NIFTY 50,NIFTY 100,NIFTY 200,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
Heidelberg Cem.,HEIDELBERG,Cement & Cement Products,NIFTY MICROCAP 250,Construction
India Cements,INDIACEM,Cement & Cement Products,"NIFTY SMALLCAP 250,NIFTY MIDSMALLCAP 400,NIFTY 500",Construction
J K Cements,JKCEMENT,Cement & Cement Products,"NIFTY MIDCAP 150,NIFTY MIDSMALLCAP 400,NIFTY LARGEMIDCAP 250,NIFTY 500",Construction
