stock_name,symbol,industry,company_id,screener_url,status
Anand Rathi Wea.,ANANDRATHI,Financial Products Distributor,1275117,https://www.screener.in/company/ANANDRATHI/consolidated/,success
Prudent Corp.,PRUDENT,Financial Products Distributor,1275224,https://www.screener.in/company/PRUDENT/consolidated/,success
AGS Transact,AGSTRA,Financial Technology (Fintech),1275162,https://www.screener.in/company/AGSTRA/consolidated/,success
Infibeam Avenues,INFIBEAM,Financial Technology (Fintech),1273310,https://www.screener.in/company/INFIBEAM/consolidated/,success
One Mobikwik,MOBIKWIK,Financial Technology (Fintech),1285186,https://www.screener.in/company/MOBIKWIK/consolidated/,success
MOS Utility,MOS,Financial Technology (Fintech),1284337,https://www.screener.in/company/MOS/consolidated/,success
One 97,PAYTM,Financial Technology (Fintech),1275094,https://www.screener.in/company/PAYTM/consolidated/,success
PB Fintech.,POLICYBZR,Financial Technology (Fintech),1275091,https://www.screener.in/company/POLICYBZR/consolidated/,success
Seshaasai Tech.,STYL,Financial Technology (Fintech),1285680,https://www.screener.in/company/STYL/consolidated/,success
Suvidhaa Info.,SUVIDHAA,Financial Technology (Fintech),1274853,https://www.screener.in/company/SUVIDHAA/consolidated/,success
