symbol,exchange,name,description,logoid,update_mode,type,typespecs,close,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,free_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector_tr,market,sector,AnalystRating,AnalystRating_tr,exchange_field,full_symbol
CONTAINE,BSE,CONTAINE,Containe Technologies Ltd.,containe-technologies-limited,delayed_streaming_900,stock,['common'],36.9,100,1,false,0,INR,-4.994850669412989,5000,0.5555555555555556,,INR,,,,,Electronic technology,india,Electronic Technology,Neutral,Neutral,BSE,BSE:CONTAINE
ZSANMCOM,BSE,ZSANMCOM,Sanmitra Commercial Ltd.,,delayed_streaming_900,stock,['common'],11,100,1,false,0,INR,4.961832061068698,25,,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:ZSANMCOM
JEL,BSE,JEL,Jyotirgamya Enterprises Ltd,jyotirgamya-enterprises-limite,delayed_streaming_900,stock,['common'],128.2,100,5,false,0,INR,0,24500,20.952706747626785,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:JEL
SUPERIOR,BSE,SUPERIOR,Superior Finlease Ltd.,superior-finlease-limited,delayed_streaming_900,stock,['common'],1.68,100,1,false,0,INR,15.86206896551724,4344,0.3885718374868061,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:SUPERIOR
DEL,BSE,DEL,Dhanashree Electronics Ltd.,dhanashree-electronics-limited,delayed_streaming_900,stock,['common'],429.6,100,5,false,0,INR,1.9943019943020026,1489,0.17529195705405914,,INR,,,,,Producer manufacturing,india,Producer Manufacturing,Neutral,Neutral,BSE,BSE:DEL
CCAL,BSE,CCAL,City Crops Agro Limited,city-crops-agro-limited,delayed_streaming_900,stock,['common'],19.44,100,1,false,0,INR,0.2061855670103232,6000,0.2777777777777778,,INR,,,,,Distribution services,india,Distribution Services,Neutral,Neutral,BSE,BSE:CCAL
MIL,BSE,MIL,Medico Intercontinental Ltd.,medico-intercontinental-limite,delayed_streaming_900,stock,['common'],38,100,1,false,0,INR,3.5704551648950735,2407,1.1883485559121205,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:MIL
MAXHEIGHTS,BSE,MAXHEIGHTS,Maxheights Infrastructure Ltd.,maxheights-infrastructure-ltd,delayed_streaming_900,stock,['common'],12.2,100,1,false,0,INR,-3.174603174603177,919,0.0873117666619163,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:MAXHEIGHTS
PHOTON,BSE,PHOTON,Photon Capital Advisors Ltd.,photon-capital-advisors-ltd,delayed_streaming_900,stock,['common'],91,100,1,false,0,INR,-4.2105263157894735,20,0.1636661211129296,,INR,,,,,Finance,india,Finance,Neutral,Neutral,BSE,BSE:PHOTON
INTEGFD,BSE,INTEGFD,Integrated Proteins Ltd.,integrated-proteins-ltd,delayed_streaming_900,stock,['common'],22.93,100,1,false,0,INR,-4.9730625777041,70,0.2213088839709137,,INR,,,,,Process industries,india,Process Industries,Neutral,Neutral,BSE,BSE:INTEGFD
